syscode	codename	toaccount	accountname	address	opendate
30	1	1000001	淮扬快餐		2007/7/4
99	1	1000002	海派食府		2007/7/4
30	1	1000003	中式点心		2007/7/4
28	1	1000005	一餐教工餐厅		2007/7/4
30	1	1000005	一餐教工餐厅		2007/7/4
30	1	1000006	面包房1		2007/7/4
99	1	1000006	面包房1		2007/7/4
30	1	1000007	梦园面包房2		2007/7/4
30	1	1000010	吉祥小厨		2007/7/4
30	1	1000011	顺日北小吃		2007/7/4
99	1	1000014	高知餐厅		2007/7/4
99	1	1000015	川菜		2007/7/4
28	闵行超市对接代理	1000016	闵行教育超市		2007/7/4
49	闵行西区超市	1000019	哈乐之家		2007/7/4
269	2	1000027	上海快餐		2007/7/4
34	2	1000027	上海快餐		2007/7/4
269	2	1000029	西北面点		2007/7/4
34	2	1000029	西北面点		2007/7/4
269	2	1000030	江南小吃		2007/7/4
34	2	1000030	江南小吃		2007/7/4
269	2	1000031	川味点心		2007/7/4
34	2	1000031	川味点心		2007/7/4
269	2	1000037	教育超市		2007/7/4
34	2	1000037	教育超市		2007/7/4
269	2	1000038	大众餐厅		2007/7/4
34	2	1000038	大众餐厅		2007/7/4
269	2	1000039	新疆餐厅		2007/7/4
34	2	1000039	新疆餐厅		2007/7/4
269	2	1000040	二大楼教工餐厅	闵行第二餐饮大楼二楼	2007/7/4
34	2	1000040	二大楼教工餐厅	闵行第二餐饮大楼二楼	2007/7/4
269	2	1000041	绿园餐厅		2007/7/4
34	2	1000041	绿园餐厅		2007/7/4
268	3	1000047	北区教育超市		2007/7/4
36	3	1000047	北区教育超市		2007/7/4
267	4	1000055	东餐厅		2007/7/4
38	4	1000055	东餐厅		2007/7/4
267	4	1000056	西餐厅		2007/7/4
38	4	1000056	西餐厅		2007/7/4
267	4	1000057	面点		2007/7/4
38	4	1000057	面点		2007/7/4
267	4	1000060	炖品	四餐2楼	2007/7/4
38	4	1000060	炖品	四餐2楼	2007/7/4
265	5	1000061	一楼快餐厅		2007/7/6
33	5	1000061	一楼快餐厅		2007/7/6
265	5	1000062	二楼快餐厅		2007/7/6
33	5	1000062	二楼快餐厅		2007/7/6
19	闵行西区浴室	1000091	闵行西区浴室		2007/7/6
21	闵行北区浴室	1000092	闵行北区浴室		2007/7/6
20	闵行东区浴室	1000093	闵行东区浴室		2007/7/6
22	水控系统2	1000095	六期水控		2007/7/6
64	水控中心	1000095	六期水控		2007/7/6
26	图书馆	1000098	借还书		2007/7/6
31	闵行校车队	1000101	闵行校车队		2007/7/10
265	5	1000103	二楼面馆		2007/8/24
33	5	1000103	二楼面馆		2007/8/24
265	5	1000105	第五餐饮教育超市		2007/9/7
33	5	1000105	第五餐饮教育超市		2007/9/7
267	4	1000108	苏记麻辣烫		2007/9/24
38	4	1000108	苏记麻辣烫		2007/9/24
30	1	1000125	供应点1		2008/5/28
12	闵行卡中心综合业务2	1000127	本科生学务收费	闵行行政楼B楼一楼，   中行资产	2008/6/24
265	5	1000132	中西餐厅		2008/7/6
33	5	1000132	中西餐厅		2008/7/6
267	4	1000136	百味林		2008/11/17
38	4	1000136	百味林		2008/11/17
26	图书馆	1000137	图书馆自助复印		2008/12/10
81	教育超市柜台	1000143	教育超市	教育超市柜台	2009/5/18
267	4	1000157	吉姆丽德		2009/10/9
38	4	1000157	吉姆丽德		2009/10/9
267	4	1000159	教工餐厅	第四餐饮大楼二楼东面	2009/10/9
38	4	1000159	教工餐厅	第四餐饮大楼二楼东面	2009/10/9
49	闵行西区超市	1000175	浓清水果店（哈乐餐厅）	教育超市	2011/11/6
48	闵行甜魔咖啡（暂）	1000176	甜魔咖啡	闵行校车候车室旁侧	2011/11/7
99	1	1000176	甜魔咖啡	闵行校车候车室旁侧	2011/11/7
266	6	1000178	六餐东一楼餐厅		2012/9/5
37	6	1000178	六餐东一楼餐厅		2012/9/5
266	6	1000179	六餐面馆		2012/9/5
37	6	1000179	六餐面馆		2012/9/5
266	6	1000180	六餐伊诺咖啡		2012/9/5
37	6	1000180	六餐伊诺咖啡		2012/9/5
267	4	1000181	串串烧	四餐二楼西面	2012/10/13
38	4	1000181	串串烧	四餐二楼西面	2012/10/13
267	4	1000182	麻辣烫	四餐2楼西面	2012/10/13
38	4	1000182	麻辣烫	四餐2楼西面	2012/10/13
267	4	1000183	笼仔饭	四餐二楼西面	2012/10/13
38	4	1000183	笼仔饭	四餐二楼西面	2012/10/13
267	4	1000184	粉面饭	四餐二楼西面	2012/10/13
38	4	1000184	粉面饭	四餐二楼西面	2012/10/13
267	4	1000185	烧腊饭	四餐二楼西面	2012/10/13
38	4	1000185	烧腊饭	四餐二楼西面	2012/10/13
267	4	1000186	甜点	四餐二楼西面	2012/10/13
38	4	1000186	甜点	四餐二楼西面	2012/10/13
267	4	1000187	点心	四餐二楼西面	2012/10/13
38	4	1000187	点心	四餐二楼西面	2012/10/13
124	综合体育馆	1000190	综合体育馆	综合体育馆150房间	2012/12/11
126	南区体育馆	1000191	南区体育馆	南区体育馆104房间	2012/12/13
130	网球场	1000193	网球场	学生服务中心205房间	2012/12/13
129	学生服务中心	1000194	学生服务中心	学生服务中心205房间	2012/12/13
128	学生活动中心光彪楼	1000195	学生活动中心光彪楼	光彪楼前台	2012/12/13
30	1	1000202	闵行一餐临时	印务 校园环境	2013/4/10
30	1	1000204	松叶蔬菜		2013/5/15
267	4	1000210	炒面	四餐一楼西部	2013/9/16
38	4	1000210	炒面	四餐一楼西部	2013/9/16
267	4	1000211	土豆粉	四餐一楼西部	2013/9/16
38	4	1000211	土豆粉	四餐一楼西部	2013/9/16
267	4	1000212	烤肉	四餐一楼西部	2013/9/16
38	4	1000212	烤肉	四餐一楼西部	2013/9/16
267	4	1000213	粥档	四餐一楼西部	2013/9/16
38	4	1000213	粥档	四餐一楼西部	2013/9/16
269	2	1000215	西式快餐	闵二	2013/10/31
34	2	1000215	西式快餐	闵二	2013/10/31
267	4	1000216	风味煲仔饭	第四餐饮大楼一楼西端	2013/11/5
38	4	1000216	风味煲仔饭	第四餐饮大楼一楼西端	2013/11/5
99	1	1000219	一餐清真	闵行一餐回民餐厅	2014/5/29
38	4	1000220	后发定额卡（第四餐饮）	四餐大楼一楼	2014/7/26
30	1	1000221	一餐教工定额卡	第一餐饮大楼二楼	2014/7/26
269	2	1000222	上海快餐定额卡	第二餐饮大楼一楼	2014/7/26
34	2	1000222	上海快餐定额卡	第二餐饮大楼一楼	2014/7/26
268	3	1000231	闵行第三餐饮外婆桥	闵行第三餐饮二楼	2014/9/2
36	3	1000231	闵行第三餐饮外婆桥	闵行第三餐饮二楼	2014/9/2
268	3	1000232	闵行第三餐饮清真餐厅	闵行第三餐饮二楼	2014/9/2
36	3	1000232	闵行第三餐饮清真餐厅	闵行第三餐饮二楼	2014/9/2
268	3	1000233	闵行第三餐饮学生餐厅	闵行第三餐饮一楼	2014/9/2
36	3	1000233	闵行第三餐饮学生餐厅	闵行第三餐饮一楼	2014/9/2
135	致远游泳健身馆1	1000236	致远游泳健身馆1	致远游泳健身馆	2014/9/25
138	曦潮书店	1000237	曦潮书店	华联一层101室	2014/9/25
267	4	1000239	达通闵行四餐水果吧	四餐东面电梯下	2014/9/30
38	4	1000239	达通闵行四餐水果吧	四餐东面电梯下	2014/9/30
136	致远游泳健身馆2	1000240	致远游泳健身馆2	致远游泳健身馆	2014/10/13
99	1	1000241	达通一餐蔬菜店	一餐候车亭旁	2014/10/17
99	1	1000242	达通一餐水果店	一餐候车亭旁	2014/10/17
268	3	1000244	闵行三餐时光咖啡	第三餐饮大楼一楼	2014/11/26
36	3	1000244	闵行三餐时光咖啡	第三餐饮大楼一楼	2014/11/26
267	4	1000246	闵行四餐面包房	四餐一楼	2014/12/11
